state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
TELANGANA,NEW Rangareddy,120349,298082,191994,205862,83627,18831,2006345,2666390,498943,596918,1011851,42,188.78043,728,86325,129368,1035,0,19603,15023,2986,15.57375,7,59.22965,407.57398,3397.46877,3703.18211,205.09873
HIMACHAL PRADESH,SHIMLA 10247,136043,157923,157378,29637,43647,1513,1120361,656143,575022,2175,626206,24,247.07617,2,16922,14862,53,0,16037,18068,2606,27.84515,69,51.81007,207.11656,5812.38868,4550.50721,253.66711
TELANGANA,Medak 10015,394080,330348,132850,295404,72506,45423,2657633,4590823,296416,371021,1563822,32,187.39754,95,54220,62141,678,0,16098,14485,2652,33.62663,40,23.44883,12182.96692,9377.54358,3234.11427,267.28902
MIZORAM,URBAN HNAHTHIAL,8182,37856,16001,23943,6,7323,1830583,908350,0,699783,371484,38,268.25476,0,34128,31173,2,0,511,95,409,3.29542,31,54.57354,4573.9232,1138.71284,471.4202,102.26573
UTTAR PRADESH,BALRAMPUR PUR,131669,207429,116199,108481,76291,516,4608559,2505325,375789,6978,1252529,30,210.86554,63,76743,8,377,3,52801,12644,1413,14.75267,33,44.64227,11048.30603,5210.26738,3457.23789,116.45874
MADHYA PRADESH,DAMOH 10671,227887,179379,55395,136868,55331,327746,2919549,1902618,222308,2713971,177269,30,191.05698,233,12520,97954,780,1,31220,18408,6372,47.45921,75,25.02923,7110.5133,7929.41683,725.37808,423.44169
HARYANA,OLD AMBALA,120048,49137,3835,3621,10303,0,1370103,181641,2166,0,334707,27,362.60948,7,884,8811,0,52,1173,2210,66,22.14682,39,50.57106,823.33317,3323.52914,0.0,31.82523
ODISHA,BALESHWAR 10269,213144,396349,81134,247476,116638,11859,11642142,4839925,612581,1631490,653761,43,229.32845,6525,51505,312718,137,0,24330,20903,6427,31.11568,41,47.94978,8161.9123,11480.69184,823.25,142.72719
UTTARAKHAND,NAINITAL 10211,125629,170182,63635,76589,16265,24298,622767,1322990,100062,12089,358364,29,232.54762,44,9274,15424,25,18,15854,8427,3105,19.55025,46,65.13707,1270.11508,1147.09322,597.23067,34.37974
KARNATAKA,CHAMARAJA NAGARA 10531,124559,1640375,167044,405703,38585,4076,5421687,844406,630809,38935,1225087,29,338.16901,268,71557,116339,387,0,59173,16005,3760,9.51526,64,31.34529,9178.29612,3187.37671,2994.50995,0.0
MAHARASHTRA,OLD RAIGAD,363363,525803,95840,158131,16331,10229,1615694,1705843,3662,83589,823283,15,308.41627,654,10082,154337,456,179,40909,21974,1504,0.25075,96,50.74617,4641.70748,2043.39938,539.82272,10.74651
MANIPUR,SOUTH KANGPOKPI,9909,27786,9436,43862,177,72563,516808,137929,1199,56578,14392,5,228.39471,0,25646,0,0,11,1549,1623,0,75.09241,0,24.36681,2165.18322,201.18426,586.68573,85.06109
SIKKIM,SORENG 10073,26617,43937,9843,22429,1179,10354,421370,316493,19421,128500,188058,23,230.59557,0,5738,9322,12,0,1073,729,743,23.01044,72,57.88718,1510.14184,686.69506,187.36072,35.59956
BIHAR,OLD Sheikhpura,575287,210448,165259,202639,30321,29972,8436758,2646566,1732245,99331,2777453,31,260.46894,164,32001,43997,239,4,29202,65282,15621,9.88678,90,35.26116,15544.69892,4981.30574,1684.73298,86.55322
WEST BENGAL,BANKURA 10485,55671,1476656,463164,479012,610283,53690,0,0,0,0,2953,28,226.46804,0,0,1,0,22,4539,64226,8,0.0,24,85.01263,160.322,0.0,0.0,404.18507
MEGHALAYA,WEST JAINTIA HILLS 10138,128469,91876,55626,68214,1544,37202,2090072,446445,0,403675,391902,38,273.97714,14,23156,12778,11,12,5921,5645,504,21.89262,46,39.70319,3633.98019,526.82313,3898.33846,84.01063
JHARKHAND,OLD BOKARO,221456,225616,151229,192027,8067,27200,2849231,3014363,210170,785601,940069,31,238.29384,528,79627,75705,70,1,41812,34039,32684,19.8515,98,74.28698,7472.99964,7717.54335,611.46135,173.00201
MADHYA PRADESH,TIKAMGARH 10693,254685,569651,90111,414800,40400,50153,3099625,482212,138422,150667,775277,31,196.8116,123,67870,109160,266,1,25996,10691,4436,40.66839,65,19.39928,6859.13213,1804.83058,961.75133,145.26329
UTTAR PRADESH,UNNAO 11451,195091,383335,135686,251880,4667,3012,4407335,3921930,1049080,1124,435709,34,252.97028,1073,41054,165186,110,4,44619,251,2818,29.26292,62,31.01854,14802.49203,15990.7753,2377.15973,48.21912
MADHYA PRADESH,URBAN ANUPPUR,154525,485542,81237,214013,38490,40694,3373432,1493744,109719,38049,636853,33,198.24073,273,90305,186356,274,2,44204,9579,2264,53.49676,78,21.81085,2683.05494,3395.54743,2144.3014,86.05239
ASSAM,OLD GOLAGHAT,203159,440942,73149,192787,9167,47605,496576,2174057,92280,83505,713123,32,257.83034,26,36194,73641,78,0,50190,14178,4058,1.37743,83,20.14892,2808.4644,4144.75043,331.36966,0.0
ARUNACHAL PRADESH,TAWANG 10024,7303,39124,15301,11280,24,29572,273873,217554,0,110863,228648,22,254.69166,0,2197,3397,5,15,142,304,1,1.99044,0,64.86035,1191.65949,602.24529,759.41915,10.18363
RAJASTHAN,SRI GANGANAGAR 10042,256768,409109,198838,1206135,88776,111124,4021181,9520916,601089,728086,10520277,31,195.53077,1126,87103,325371,959,0,48712,6637,838,66.27652,32,38.78797,4125.84896,17014.10444,1365.00742,125.50873
TAMIL NADU,SALEM 10820,347537,215806,205820,349553,63086,30246,3462790,8492868,110816,51532,3939900,31,260.70775,150,65485,225156,1797,0,22754,9981,6009,52.75379,53,12.55884,38355.08336,10057.15216,2715.92838,360.0712
GUJARAT,VALSAD 10166,90629,323613,72739,75587,33595,79134,611081,350334,24477,3962133,2772076,28,237.59166,209,10879,33901,9,15,1669,5080,1590,16.51973,66,8.43042,1352.40598,653.52529,660.45757,59.0267
MAHARASHTRA,AMRAVATI 10732,278473,887288,70335,293917,21972,334038,801693,2666577,11847,46143,439279,21,323.58453,1284,22677,34042,594,34,19546,16030,2867,19.51802,99,24.95915,1332.6584,340.41113,363.38882,83.39654
TAMIL NADU,DHARMAPURI 10465,252293,367833,106479,260044,65461,336,5204953,7447315,1965272,482916,6715447,41,241.33563,367,238343,223484,217,0,15509,8298,10461,68.26101,67,30.28563,24862.50528,10628.43446,1432.88981,188.19406
ODISHA,NEW BOUDH,253252,695401,77420,159867,28038,46038,4867125,1449805,351679,815327,453869,42,222.6366,419,66550,38433,595,0,9814,34672,1305,44.72068,44,40.92646,6825.70297,3432.84045,418.974,235.02865
ARUNACHAL PRADESH,ANJAW 10332,21816,20813,25569,33810,0,18900,272188,34832,0,6095,258997,37,294.15062,0,3034,3490,0,2,245,758,20,0.0,0,43.08707,289.63903,622.32382,238.34425,3.56181
JAMMU AND KASHMIR,SAMBA 10099,55599,106440,24361,167613,26,2132,1565902,828506,2759,3246,42960,25,272.03461,0,5519,34747,53,4,40061,15334,1273,11.99931,67,3.83615,575.90677,1472.2278,209.23756,17.88536
CHHATTISGARH,SURAJPUR 10559,117956,314694,66280,88516,19900,59580,3901318,1455536,36198,898596,1014597,25,253.97578,112,43797,236741,513,15,9207,2973,5769,12.84932,69,29.73691,1458.88744,3931.96644,1116.42095,430.4322
ARUNACHAL PRADESH,SIANG 10318,9917,31012,19548,30188,0,39526,574705,76803,0,9806,2650,16,499.20849,0,8824,652,2,0,62,742,0,3.0,0,0.0,413.57182,930.61919,75.86911,3.68562
PUNJAB,FEROZEPUR 10099,49320,66978,29150,108679,86301,12,1946312,661614,543783,304,1234622,20,282.64798,15,51232,18898,17,23,11266,1829,1969,7.57161,49,51.9661,5999.48682,1726.44817,88.20205,0.0
TRIPURA,GREATER WEST TRIPURA,101452,125425,54878,177589,27562,44134,2990833,4359627,336351,831378,1354263,32,191.72912,1121,66118,90606,1200,0,19902,10684,8945,9.4848,81,53.84405,5868.98724,5736.13073,955.57612,237.80141
ASSAM,KARIMGANJ 10408,222352,60653,70006,197301,8997,148242,624316,650350,268020,92529,291070,26,259.29014,95,43995,79906,38,0,8110,25711,5071,0.0,97,21.22641,6970.19262,3782.08469,8.72722,0.0
ODISHA,NUAPADA 10230,100351,516914,226311,274825,29931,12377,6520844,1927587,250834,1668172,3005579,38,244.08013,562,80570,79864,325,0,15569,27592,5430,22.78383,44,47.20653,8664.36075,6428.94891,218.79341,88.82052
BIHAR,KHAGARIA 10476,577798,430052,214993,442415,48901,9479,3318508,2975015,1076260,52787,680072,33,242.10523,78,174576,68120,125,4,39535,10093,15099,8.99193,72,71.94667,11618.39157,5341.17149,4332.75752,139.8462
ARUNACHAL PRADESH,TIRAP 10324,4825,19225,21919,29855,0,13872,872217,221926,8,4206,40323,18,240.00342,0,4489,5298,0,4,192,759,0,0.0,0,59.03739,1838.06905,416.99787,81.90422,20.8357
ANDHRA PRADESH,SRI SATHYA SAI 10497,270334,466100,150595,651946,9955,563,7607100,7556120,1307852,468230,2637247,49,246.49184,7787,336176,252264,7322,2,38284,26764,5094,18.01102,49,68.87674,35077.67541,13955.7057,3317.46745,1041.4525
GUJARAT,ARVALLI 10024,36167,72568,72117,35826,14289,428332,634609,523656,9560,636783,241504,43,191.02719,251,10755,12504,186,2,3415,2930,143,47.43388,62,21.40345,1204.87084,1455.60949,10641.48234,71.06472
ASSAM,RURAL HOJAI,232357,367078,140963,403398,10180,62949,2590658,2874138,3509,113177,296751,26,246.02481,50,65532,114065,296,0,38641,45493,4920,0.0,97,25.12757,1947.95996,2124.22,10.80216,0.0
ANDHRA PRADESH,EAST CHITTOOR,343504,462022,185077,376634,162732,14507,10128071,8865793,928626,73406,6211913,43,242.13373,783,149296,300544,4722,0,63604,54413,16714,56.41848,74,81.85718,21648.15354,34982.85911,10866.02066,223.34459
PUNJAB,HOSHIARPUR 10466,36588,243235,62118,88903,86119,0,577776,614818,918274,109,630809,25,310.57068,14,51783,49996,35,10,12441,1322,1291,3.61652,46,52.83744,2156.35107,884.21782,13.56402,0.0
ODISHA,KENDUJHAR 10492,197386,178656,82382,494273,118676,48635,3542304,11679841,216020,2382146,3132642,43,219.91921,387,33457,113772,183,0,6827,27320,6452,17.6493,52,32.67517,3954.32177,18194.23474,1378.12005,131.40981
MANIPUR,NONEY 10369,8951,90355,49446,19424,15,2169,601776,236906,12329,1260,5349,0,1093.27666,0,0,0,0,0,443,441,37,35.50538,0,80.09895,337.04045,46.94694,106.782,3.52159
MEGHALAYA,GREATER SOUTH WEST KHASI HILLS,64993,40576,117658,78340,2,65701,1208303,909667,3664,231506,305102,19,254.5279,138,17723,26512,151,8,3565,1355,1256,14.68182,12,21.24943,5407.33202,6503.77107,714.77428,79.95939
BIHAR,KHAGARIA NAGAR,494948,181702,338091,236811,46935,3037,3362202,4475130,256927,2741,647994,35,256.01028,28,136284,81121,11,11,48739,11853,6421,8.88802,62,72.32686,5660.46131,4316.45183,3159.26681,156.9078
BIHAR,SOUTH PASHCHIM CHAMPARAN,482270,502907,397987,363709,48732,1372,8674552,4429461,280424,36339,1097543,33,232.29958,84,189620,99624,76,1,36243,12568,10960,8.08831,52,51.34878,15373.55554,6515.24218,2450.4897,163.20222
HIMACHAL PRADESH,SHIMLA 10282,307561,509527,68071,239968,27141,17917,1231949,295568,422029,507012,179115,27,230.50221,116,11591,53649,66,2,7264,15131,1881,25.89916,57,46.59167,193.03194,5615.33054,535.54556,41.96324
MADHYA PRADESH,VIDISHA,230142,495867,36694,102505,14866,124614,1549851,1645676,129143,74877,105381,28,213.63927,220,45095,77327,144,4,33193,21268,4194,55.13749,83,34.8556,1234.33995,5026.94644,2170.46165,415.85752
TAMIL NADU,GREATER DINDIGUL,160076,213741,183652,178070,97993,35035,3525545,11181479,2905905,331,3672937,53,265.46188,825,71838,284286,714,0,21387,7067,11641,67.47834,34,11.04363,26769.01552,30048.78613,653.77314,710.1735
WEST BENGAL,PURULIA 10359,691751,85020,316679,1311921,147501,130739,0,3886,14,0,12,32,255.397,0,81,6001,0,157,85973,11209,1798,0.0,66,75.50392,425.22786,0.0,0.0,197.88625
UTTARAKHAND,URBAN DEHRADUN,120497,69013,70822,142186,14741,371,1024710,300098,82661,167,146096,29,253.24984,99,13926,40063,67,19,6688,7936,4011,34.87734,55,41.72991,1737.51513,676.00106,787.25459,110.06991
JAMMU AND KASHMIR,NEW BARAMULLA,85495,242395,39284,32233,18,60077,2087623,173829,2592,22708,106857,22,294.48478,0,3495,5199,50,20,25079,36189,10018,6.1319,34,5.27543,1429.0281,719.75006,130.50615,126.58879
KARNATAKA,HASSAN 10442,291104,749891,43342,671573,81434,6969,5128128,2217082,150362,230826,99671,24,300.80228,2231,103015,141876,44,0,47323,31158,11232,53.35591,63,24.72064,4002.72317,108.90441,2268.51897,142.92595
GUJARAT,JUNAGADH,133217,110342,308598,77661,1813,57199,2148880,342454,1414,212941,207247,45,214.19427,43,6020,19244,64,95,1551,1521,288,37.05721,71,17.39235,1593.52731,1180.241,410.51826,83.00529
PUNJAB,JALANDHAR 10240,107292,129814,27276,67555,15921,2,805826,262888,558453,599,233249,25,295.43128,47,50778,20033,58,52,10061,7573,734,5.79275,20,38.49905,6851.89098,1586.34703,144.02206,0.0
HARYANA,PANCHKULA 10035,150138,209581,38890,80694,56028,0,790008,289879,130858,0,15985,24,320.18466,2,7855,776,18,76,57,1027,67,5.54496,16,68.46721,238.56033,186.703,39.15649,49.01408
ASSAM,SOUTH SALMARA-MANKACHAR 10263,161223,209265,209169,51748,7729,2795,2055629,3030854,45478,664430,1336077,35,245.63273,102,54539,70395,168,0,5745,21679,7403,0.56067,95,12.48637,3222.27301,3426.91991,8.56082,0.0
BIHAR,BANKA 10616,800657,437189,345768,131139,19547,250,2605231,1197856,237359,45822,1818825,40,252.4387,26,111549,60711,230,5,16124,29889,10273,8.4144,73,65.83492,7357.55408,7446.41917,2274.96788,22.89737
UTTAR PRADESH,RURAL MUZAFFARNAGAR,115657,20142,228725,240533,92960,531,1298906,1559119,533813,630,655,32,242.50689,2,32420,92693,205,10,38741,36806,2329,26.08335,15,38.57947,6593.67728,5436.74584,2909.24837,83.48337
ARUNACHAL PRADESH,GREATER TIRAP,21323,21558,5678,10257,7,27353,409477,91608,0,2639,4369,19,669.09471,0,412,2242,4,0,409,199,125,0.0,10,16.3492,299.14864,8.71833,110.34976,11.74372
TELANGANA,Karimnagar 10279,114934,337826,97736,195333,35461,36026,3538923,2929193,310829,1006691,829461,30,182.33481,473,82076,47069,1370,0,9914,14855,993,48.84613,35,26.28579,4199.17715,3801.37602,3131.65471,260.29255
UTTAR PRADESH,RAE BARELI 10317,268799,467443,255887,183500,85470,409,2396426,3411018,284916,1849,1106612,31,212.74991,320,39206,31171,34,23,20187,37046,8392,18.7084,50,32.67527,5029.42601,4737.2749,1456.98652,205.79832
ODISHA,RAYAGADA 10431,91788,321852,240880,256953,76623,30458,1912989,1354268,213172,521249,1032256,45,286.13455,335,113692,241852,38,1,47624,33709,3625,25.60829,24,37.40877,11301.21741,6655.89812,652.18216,386.73621
BIHAR,MUNGER 10564,448123,990412,110859,208534,52019,15219,3436760,5244014,571357,35006,1070819,31,250.72237,617,143082,147665,137,8,25840,10636,5266,8.08791,64,72.11219,9061.89969,9556.22454,2824.98029,18.45857
PUNJAB,MUKATSAR 10457,48058,255762,70488,61823,92378,65,1102116,237095,400784,8,269888,21,308.15245,88,25496,60029,89,75,5581,8917,692,16.39141,28,50.17763,794.6542,3246.8659,453.99655,0.0
CHHATTISGARH,KANKER 10667,130233,279086,147676,277857,58240,158318,4433266,2837347,11662,1151531,1058123,31,223.65171,301,24254,112685,629,7,8204,9015,977,40.9727,70,37.37338,4708.73971,4784.48346,2894.75587,79.50232
JAMMU AND KASHMIR,SOUTH KISHTWAR,57475,122679,24258,4706,2352,916,53728,482315,95,1991,44420,12,264.8686,5,5096,10076,34,12,6486,5941,10220,5.46492,43,37.5234,657.2895,13.02072,1290.14003,90.85236
HARYANA,MAHENDRAGARH 10414,110193,83060,4195,19851,10979,0,1242034,34811,537510,0,38315,20,335.69788,12,21261,6853,77,41,1203,545,36,30.32564,43,65.47217,126.05948,414.02869,560.92482,30.50519
MANIPUR,TENGNOUPAL 10239,18783,107652,37424,40378,12564,1343,536170,37225,489,181083,24163,6,565.40633,0,1343,5632,4,0,648,2230,0,52.89937,0,24.64326,986.4289,2030.3062,127.61458,0.0
TAMIL NADU,ARIYALUR 10609,456843,348068,152395,389017,63984,17,4821818,4954694,753209,205101,12442333,45,234.90939,759,60263,283270,3242,0,15576,11154,5708,78.27607,38,54.6549,48801.018,35196.24191,1985.8292,315.71171
HARYANA,JIND 10014,62851,50434,18563,19511,12042,0,1592436,16077,148504,0,209542,16,396.30483,11,7702,29677,4,6,668,649,260,37.03457,10,45.66809,121.41341,351.24202,53.09906,0.0
HARYANA,PANCHKULA 10445,117296,69943,48733,30377,38100,0,1362514,47436,252414,0,213774,17,418.12109,7,845,29551,63,6,775,810,15,7.20405,28,60.30124,220.64515,219.79902,0.0,27.24521
JAMMU AND KASHMIR,RAJAURI 10272,61749,61255,47936,172978,2,1141,2115606,535211,204,8569,51287,22,140.52128,7,6881,12794,89,0,8023,8926,6098,19.24347,59,4.13458,1979.84306,384.44348,1285.13506,63.17852
TELANGANA,CENTRAL Medak,20706,383985,93909,242463,39320,181941,1707805,1729187,438078,1742441,920095,36,158.14737,312,66473,110330,2035,0,12125,29497,1185,24.98052,12,28.12879,4969.24972,2225.89118,4894.50572,339.53154
UTTAR PRADESH,BAREILLY 10398,160784,246530,1222,442336,83208,194,4189059,1702476,393116,3126,1214031,35,225.40167,420,76478,67337,42,5,260,12632,4508,16.01261,38,22.50862,11278.25985,982.87157,63.9726,87.61368
MAHARASHTRA,EAST AMRAVATI,256644,700225,175182,84121,34778,316,773855,1453338,14147,560534,1165550,23,266.44397,4683,118763,21856,125,78,17756,31410,3668,2.00753,93,50.84145,3394.30278,10993.83929,126.74241,0.0
UTTAR PRADESH,BAREILLY 10672,52383,247593,218646,197390,53693,1718,2510618,314096,423032,711574,335047,26,230.81673,113,56429,95369,158,3,265,16200,177,27.80929,29,52.89086,20185.61763,9132.95075,1286.52368,157.97073
TAMIL NADU,KRISHNAGIRI 10377,349517,274107,152866,144031,5344,24565,4683969,12974259,183894,745,4756768,23,244.14499,1053,115904,66914,710,0,13370,10546,4186,88.69755,79,22.48208,11990.25674,21995.0308,4644.98174,305.39408
KERALA,RURAL WAYANAD,377094,671877,120880,174989,88017,1253,2543559,3012107,221403,64432,1954098,27,317.04008,39,137101,54919,89,0,26789,25875,3812,39.9614,63,43.59256,7193.95852,6015.64517,362.82271,41.3212
UTTARAKHAND,LOWER BAGESHWAR,73384,167177,45018,74451,25414,725,1223339,311384,109308,49506,128796,27,246.47824,152,36620,16031,12,11,6768,10000,1968,21.37052,36,58.17629,2385.19975,2933.40128,2357.22518,107.64039
CHHATTISGARH,DANTEWADA 10062,131919,199002,177088,339406,3789,55514,1709756,2848922,72586,1080584,946726,27,261.35287,215,41579,105080,491,2,13093,11197,871,28.12205,53,64.83968,2289.65845,3224.94727,1892.53104,235.55827
UTTARAKHAND,DEHRADUN 10272,65238,171779,63058,75745,28006,4455,1321867,475235,69320,4385,374298,33,246.53847,49,38573,53630,38,4,6673,4474,1526,17.45,44,40.84743,3068.52237,1185.28186,908.51364,67.55653
UTTAR PRADESH,GONDA 11383,229562,362395,154336,24976,46688,2769,1760384,1717161,1408857,10,1090333,20,227.44234,761,52870,8,408,4,6768,43602,9516,20.72756,57,52.96966,10047.03214,5426.84227,2204.23304,72.31432
ODISHA,BALESHWAR 10661,280901,365676,157131,139457,30281,256150,2458593,2745868,544411,2236244,2866348,40,205.51971,958,28198,224987,545,0,13236,9781,692,27.47127,41,58.98265,8087.32679,4274.84615,5168.35105,85.43558
GUJARAT,PORBANDAR 10026,32601,313069,47972,180581,685,8457,841835,173326,12433,8382,521178,47,222.14797,72,46046,20207,338,155,6101,12527,77,0.1642,74,8.77428,4213.7767,1557.96185,679.80265,105.4273
KARNATAKA,RAICHUR 10029,335693,387423,149426,380012,5276,36942,2549295,2360392,716042,735859,581574,27,300.82037,156,64214,69301,338,0,38047,7475,10384,15.39511,57,21.99088,8024.31492,2040.45572,4968.09767,242.96097
WEST BENGAL,24 PARGANAS (NORTH) 10280,354203,199901,130722,87149,620372,16534,0,0,6728,0,751,29,229.23683,0,2,424,11,77,2423,29271,10,1.34347,71,62.56963,0.0,0.0,0.0,70.12305
WEST BENGAL,CENTRAL PURULIA,105884,2006374,387685,766520,144269,88339,0,3812,108,166,35232,0,0.0,0,0,169,0,58,94663,100039,7,0.0,18,84.07697,473.16389,0.5184,0.0,13.57582
TELANGANA,GREATER Nirmal,186349,184310,68846,601916,74446,44559,1840180,2962560,359470,214551,1052210,44,185.4699,374,97012,252835,1088,0,15937,9753,6229,34.69334,27,23.95368,10932.50566,3173.83368,2833.83355,274.53883
UTTAR PRADESH,GONDA 11383,277056,234239,45298,256223,87406,2107,7872301,1545991,1421017,8537,2497657,45,226.87801,2,102774,42443,254,0,18629,19641,1181,24.13531,39,31.74518,15708.59758,6187.23695,1321.56853,117.2124
PUNJAB,NEW Fazilka,79736,89055,58608,61206,81456,68,359175,1669841,522275,678,888450,22,279.87858,3,9267,8164,869,1,10395,7886,2587,18.1728,53,52.69618,1859.06921,1865.73227,526.4268,0.0
BIHAR,SOUTH GAYA,388918,490361,94033,126681,11590,1349,4338285,1212392,823966,49027,1077763,31,227.64283,156,36214,196411,77,3,35435,16559,10797,9.0407,49,63.09469,10256.9021,15207.07151,3749.99191,163.85099
TAMIL NADU,DHARMAPURI 10030,117006,203622,152316,189685,13422,4159,1274191,6155627,1068915,81578,4089298,27,243.01822,86,173264,248159,1441,0,10604,8219,5919,33.93646,63,32.72605,13089.64496,3448.43862,1306.25314,376.5245
UTTAR PRADESH,ETAWAH 11020,277805,381183,92379,421726,16487,1763,2192753,3351659,1398913,2319,413450,33,228.96104,155,157092,8,422,5,29377,8273,2591,17.99331,56,45.93443,7502.96905,3122.98413,0.0,178.53218
BIHAR,JEHANABAD 10348,593974,430328,298887,245290,51557,2326,5152475,2991530,619431,3828,2432896,35,242.72445,129,58795,172335,18,2,23422,17392,14951,7.42056,79,69.76427,8300.97177,5726.83518,5313.22935,141.41997
MADHYA PRADESH,EAST BARWANI,73518,290680,126049,110340,37701,334153,6051076,2109894,163670,1212033,1496741,41,206.73707,22,56564,256018,1186,2,35306,10853,6581,33.388,65,14.97275,6163.54772,9404.45331,1239.49876,433.09847
WEST BENGAL,SILIGURI MAHAKUMA PARISAD 10500,801572,2192141,517285,1356103,75215,15735,0,39947,42,310,554,16,241.49567,0,0,0,0,137,29354,81060,112,0.0,74,25.46261,29.96188,5.82579,0.0,494.49043
WEST BENGAL,NEW PURBA MEDINIPUR,567609,213872,494843,878550,67043,16910,0,0,30,0,479,0,444.44755,0,0,0,0,88,13753,59336,2129,0.0,62,10.87478,20.66922,1.7089,0.0,0.0
RAJASTHAN,UDAIPUR 10743,348221,629708,499929,209754,121550,99321,10702931,1664230,461382,43113,4587604,48,181.39391,3568,79434,220043,685,0,9590,8360,2221,10.34425,56,26.97136,15754.23109,10017.4976,88.56549,113.44215
